,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05
All,"908,385","863,846","872,973","901,631","954,583","952,506","854,195","790,360","816,652","871,496","563,759","269,382","323,231"
2,"12,129","11,857","11,667","11,921","12,511","13,100","11,710","10,737","11,344","12,194","7,304","3,108","3,617"
4,"14,632","14,545","14,467","14,899","15,619","15,595","14,569","13,798","14,039","15,192","9,725","5,033","6,449"
10,"12,094","11,182","10,450","11,417","12,771","12,887","11,227","10,161","10,528","11,664","6,887","2,561","2,937"
14,"17,387","16,908","15,700","16,782","18,301","18,429","16,588","15,028","15,630","16,904","10,398","4,059","4,613"
16,"21,653","21,219","19,831","20,523","22,362","22,080","21,094","19,970","19,556","20,845","13,097","6,015","7,618"
18,"17,773","17,785","17,510","17,718","18,540","18,329","17,246","16,386","16,602","17,512","11,695","6,345","8,447"
20,"12,919","12,895","13,351","13,402","13,634","13,512","12,662","11,741","12,220","12,611","8,057","3,407","3,982"
28,"8,740","8,209","8,249","8,008","8,599","8,574","8,151","7,637","7,772","8,113","5,011","2,276","3,226"
30,"11,997","11,810","11,681","12,003","12,521","12,655","11,879","11,319","11,355","11,875","7,785","3,861","4,991"
33,"10,488","9,915","10,011","10,293","11,066","10,916","9,897","9,364","9,706","10,327","6,600","3,004","3,457"
35,"8,132","7,623","6,993","7,581","8,642","8,564","7,622","6,834","7,168","8,000","5,049","2,314","2,386"
40,"14,391","14,432","13,821","13,714","14,487","14,561","13,462","13,065","13,514","14,457","10,152","5,599","6,831"
45,"14,003","14,011","13,311","13,642","14,600","14,542","13,307","12,456","12,782","13,283","8,774","4,692","6,480"
51,"24,099","23,948","23,253","23,813","24,745","24,650","22,478","21,528","21,979","23,360","15,722","8,813","10,525"
53,"11,529","11,282","11,404","11,815","12,999","12,797","11,536","10,553","10,976","11,852","7,831","3,991","4,306"
55,"7,487","7,370","6,931","7,279","8,308","8,199","7,311","6,461","6,701","7,443","4,562","2,093","2,573"
60,"14,417","15,068","14,229","14,596","15,178","15,062","13,255","12,444","12,979","13,729","9,480","5,050","6,370"
62,"4,238","4,221","4,209","4,297","4,360","4,418","4,170","3,871","3,975","3,972","2,814","1,491","1,434"
66,"11,110","11,020","10,445","10,552","11,257","11,221","10,442","9,893","9,848","10,319","7,257","3,679","4,916"
68,"5,105","4,969","5,173","5,385","5,998","5,780","5,337","4,885","5,036","5,431","3,496","1,580","1,998"
70,"9,640","9,505","9,102","9,480","9,812","9,774","9,070","8,600","8,804","8,837","5,465","2,549","3,367"
71,"1,526","1,380","1,392","1,543","1,785","1,717","1,524","1,309","1,432","1,637","1,040",288,340
76,"8,572","8,487","8,165","8,388","8,702","8,539","8,082","7,551","7,807","7,613","4,663","1,766","2,553"
78,"8,884","8,907","8,533","8,816","9,038","8,688","8,680","8,168","8,269","8,597","5,401","2,215","2,731"
81,"13,641","13,261","13,117","13,437","14,369","14,190","13,079","12,236","12,771","13,218","8,376","3,639","4,600"
83,"2,371","2,355","2,331","2,411","2,500","2,560","2,436","2,244","2,260","2,318","1,494",771,890
90,"7,253","6,964","6,748","6,698","7,734","7,786","7,085","6,389","6,593","6,978","4,393","1,752","1,945"
92,"5,779","5,753","5,607","5,775","6,039","6,041","5,628","5,153","5,315","5,585","3,190","1,342","1,628"
94,"4,395","4,315","4,173","4,315","4,376","4,423","4,087","3,795","4,100","4,232","2,805","1,586","2,410"
